timestamp,kw
2018-01-01 00:15:00,317900
2018-01-01 00:30:00,303450
2018-01-01 00:45:00,297670
2018-01-01 01:00:00,240414
2018-01-01 01:15:00,276220
2018-01-01 01:30:00,258317
2018-01-01 01:45:00,276220
2018-01-01 02:00:00,260680
2018-01-01 02:15:00,260680
2018-01-01 02:30:00,289940
2018-01-01 02:45:00,242060
2018-01-01 03:00:00,240433
2018-01-01 03:15:00,264967
2018-01-01 03:30:00,240433
2018-01-01 03:45:00,267420
2018-01-01 04:00:00,219346
2018-01-01 04:15:00,243188
2018-01-01 04:30:00,231267
2018-01-01 04:45:00,236035
2018-01-01 05:00:00,273942
2018-01-01 05:15:00,302778
2018-01-01 05:30:00,279709
2018-01-01 05:45:00,285476
2018-01-01 06:00:00,304050
2018-01-01 06:15:00,315524
2018-01-01 06:30:00,298313
2018-01-01 06:45:00,272498
2018-01-01 07:00:00,303721
2018-01-01 07:15:00,274517
2018-01-01 07:30:00,283278
2018-01-01 07:45:00,274517
2018-01-01 08:00:00,315715
2018-01-01 08:15:00,309585
2018-01-01 08:30:00,315715
2018-01-01 08:45:00,309585
2018-01-01 09:00:00,361054
2018-01-01 09:15:00,328881
2018-01-01 09:30:00,357480
2018-01-01 09:45:00,325306
2018-01-01 10:00:00,366526
2018-01-01 10:15:00,352153
2018-01-01 10:30:00,337779
2018-01-01 10:45:00,344966
2018-01-01 11:00:00,302766
2018-01-01 11:15:00,346018
2018-01-01 11:30:00,312747
2018-01-01 11:45:00,332710
2018-01-01 12:00:00,332928
2018-01-01 12:15:00,325992
2018-01-01 12:30:00,339864
2018-01-01 12:45:00,360672
2018-01-01 13:00:00,378822
2018-01-01 13:15:00,361120
2018-01-01 13:30:00,375282
2018-01-01 13:45:00,385903
2018-01-01 14:00:00,332966
2018-01-01 14:15:00,322876
2018-01-01 14:30:00,366599
2018-01-01 14:45:00,316150
2018-01-01 15:00:00,355924
2018-01-01 15:15:00,365904
2018-01-01 15:30:00,316008
2018-01-01 15:45:00,345945
2018-01-01 16:00:00,383635
2018-01-01 16:15:00,354681
2018-01-01 16:30:00,398112
2018-01-01 16:45:00,351062
2018-01-01 17:00:00,339148
2018-01-01 17:15:00,335616
2018-01-01 17:30:00,360345
2018-01-01 17:45:00,335616
2018-01-01 18:00:00,385516
2018-01-01 18:15:00,331972
2018-01-01 18:30:00,353390
2018-01-01 18:45:00,381947
2018-01-01 19:00:00,380123
2018-01-01 19:15:00,356610
2018-01-01 19:30:00,399717
2018-01-01 19:45:00,387961
2018-01-01 20:00:00,398602
2018-01-01 20:15:00,382164
2018-01-01 20:30:00,452023
2018-01-01 20:45:00,402711
2018-01-01 21:00:00,352359
2018-01-01 21:15:00,404838
2018-01-01 21:30:00,363604
2018-01-01 21:45:00,401089
2018-01-01 22:00:00,349976
2018-01-01 22:15:00,328328
2018-01-01 22:30:00,335544
2018-01-01 22:45:00,393272
2018-01-01 23:00:00,312678
2018-01-01 23:15:00,319060
2018-01-01 23:30:00,303107
2018-01-01 23:45:00,341394
2018-01-02 00:00:00,259513
2018-01-02 00:15:00,272754
2018-01-02 00:30:00,280698
2018-01-02 00:45:00,256865
2018-01-02 01:00:00,269664
2018-01-02 01:15:00,259488
2018-01-02 01:30:00,254400
2018-01-02 01:45:00,262032
2018-01-02 02:00:00,265932
2018-01-02 02:15:00,249651
2018-01-02 02:30:00,274073
2018-01-02 02:45:00,274073
2018-01-02 03:00:00,245452
2018-01-02 03:15:00,240230
2018-01-02 03:30:00,250675
2018-01-02 03:45:00,253286
2018-01-02 04:00:00,251856
2018-01-02 04:15:00,264576
2018-01-02 04:30:00,246768
2018-01-02 04:45:00,274752
2018-01-02 05:00:00,294744
2018-01-02 05:15:00,315798
2018-01-02 05:30:00,309782
2018-01-02 05:45:00,282714
2018-01-02 06:00:00,370440
2018-01-02 06:15:00,403779
2018-01-02 06:30:00,385257
2018-01-02 06:45:00,363031
2018-01-02 07:00:00,425238
2018-01-02 07:15:00,371116
2018-01-02 07:30:00,417506
2018-01-02 07:45:00,413640
2018-01-02 08:00:00,451358
2018-01-02 08:15:00,414090
2018-01-02 08:30:00,430653
2018-01-02 08:45:00,380962
2018-01-02 09:00:00,375774
2018-01-02 09:15:00,329249
2018-01-02 09:30:00,375774
2018-01-02 09:45:00,375774
2018-01-02 10:00:00,421498
2018-01-02 10:15:00,417197
2018-01-02 10:30:00,460207
2018-01-02 10:45:00,473110
2018-01-02 11:00:00,448372
2018-01-02 11:15:00,394402
2018-01-02 11:30:00,431766
2018-01-02 11:45:00,402705
2018-01-02 12:00:00,368448
2018-01-02 12:15:00,395596
2018-01-02 12:30:00,422745
2018-01-02 12:45:00,391718
2018-01-02 13:00:00,378561
2018-01-02 13:15:00,371551
2018-01-02 13:30:00,336499
2018-01-02 13:45:00,361035
2018-01-02 14:00:00,348675
2018-01-02 14:15:00,386991
2018-01-02 14:30:00,367833
2018-01-02 14:45:00,402318
2018-01-02 15:00:00,340400
2018-01-02 15:15:00,336996
2018-01-02 15:30:00,350612
2018-01-02 15:45:00,313168
2018-01-02 16:00:00,370970
2018-01-02 16:15:00,370970
2018-01-02 16:30:00,333533
2018-01-02 16:45:00,357357
2018-01-02 17:00:00,392094
2018-01-02 17:15:00,456023
2018-01-02 17:30:00,387832
2018-01-02 17:45:00,434713
2018-01-02 18:00:00,402771
2018-01-02 18:15:00,406681
2018-01-02 18:30:00,383219
2018-01-02 18:45:00,398860
2018-01-02 19:00:00,428155
2018-01-02 19:15:00,449779
2018-01-02 19:30:00,467078
2018-01-02 19:45:00,454104
2018-01-02 20:00:00,371606
2018-01-02 20:15:00,412896
2018-01-02 20:30:00,390374
2018-01-02 20:45:00,345331
2018-01-02 21:00:00,370548
2018-01-02 21:15:00,406026
2018-01-02 21:30:00,358722
2018-01-02 21:45:00,390258
2018-01-02 22:00:00,317915
2018-01-02 22:15:00,275926
2018-01-02 22:30:00,287923
2018-01-02 22:45:00,296920
2018-01-02 23:00:00,349569
2018-01-02 23:15:00,305078
2018-01-02 23:30:00,336857
2018-01-02 23:45:00,314612
2018-01-03 00:00:00,282880
2018-01-03 00:15:00,296480
2018-01-03 00:30:00,252959
2018-01-03 00:45:00,296480
2018-01-03 01:00:00,282672
2018-01-03 01:15:00,254959
2018-01-03 01:30:00,260502
2018-01-03 01:45:00,304843
2018-01-03 02:00:00,271780
2018-01-03 02:15:00,271780
2018-01-03 02:30:00,255473
2018-01-03 02:45:00,277215
2018-01-03 03:00:00,244700
2018-01-03 03:15:00,258817
2018-01-03 03:30:00,256465
2018-01-03 03:45:00,244700
2018-01-03 04:00:00,258720
2018-01-03 04:15:00,258720
2018-01-03 04:30:00,261307
2018-01-03 04:45:00,282004
2018-01-03 05:00:00,298468
2018-01-03 05:15:00,265305
2018-01-03 05:30:00,276360
2018-01-03 05:45:00,281887
2018-01-03 06:00:00,369963
2018-01-03 06:15:00,402930
2018-01-03 06:30:00,333333
2018-01-03 06:45:00,347985
2018-01-03 07:00:00,366196
2018-01-03 07:15:00,393760
2018-01-03 07:30:00,378009
2018-01-03 07:45:00,409510
2018-01-03 08:00:00,365313
2018-01-03 08:15:00,325916
2018-01-03 08:30:00,368894
2018-01-03 08:45:00,343824
2018-01-03 09:00:00,387806
2018-01-03 09:15:00,394988
2018-01-03 09:30:00,351898
2018-01-03 09:45:00,391397
2018-01-03 10:00:00,426667
2018-01-03 10:15:00,390096
2018-01-03 10:30:00,434794
2018-01-03 10:45:00,426667
2018-01-03 11:00:00,385361
2018-01-03 11:15:00,381388
2018-01-03 11:30:00,397280
2018-01-03 11:45:00,389334
2018-01-03 12:00:00,442552
2018-01-03 12:15:00,382204
2018-01-03 12:30:00,398296
2018-01-03 12:45:00,390250
2018-01-03 13:00:00,381600
2018-01-03 13:15:00,381600
2018-01-03 13:30:00,437250
2018-01-03 13:45:00,429300
2018-01-03 14:00:00,320729
2018-01-03 14:15:00,327778
2018-01-03 14:30:00,352450
2018-01-03 14:45:00,380646
2018-01-03 15:00:00,365190
2018-01-03 15:15:00,357420
2018-01-03 15:30:00,380730
2018-01-03 15:45:00,427350
2018-01-03 16:00:00,367668
2018-01-03 16:15:00,360088
2018-01-03 16:30:00,409363
2018-01-03 16:45:00,390411
2018-01-03 17:00:00,423654
2018-01-03 17:15:00,397716
2018-01-03 17:30:00,440946
2018-01-03 17:45:00,393393
2018-01-03 18:00:00,439836
2018-01-03 18:15:00,412630
2018-01-03 18:30:00,453440
2018-01-03 18:45:00,494249
2018-01-03 19:00:00,364002
2018-01-03 19:15:00,395314
2018-01-03 19:30:00,418798
2018-01-03 19:45:00,403142
2018-01-03 20:00:00,375720
2018-01-03 20:15:00,354044
2018-01-03 20:30:00,386558
2018-01-03 20:45:00,379333
2018-01-03 21:00:00,350612
2018-01-03 21:15:00,374440
2018-01-03 21:30:00,347208
2018-01-03 21:45:00,340400
2018-01-03 22:00:00,302717
2018-01-03 22:15:00,325260
2018-01-03 22:30:00,318819
2018-01-03 22:45:00,341362
